New,file_name,new_file_name,new_title,old_example_id,is_same,title, description, include_file,scenario_file,new_scenario_file,scenario_no,scenario_description,scenario_use_case,POU,work_queue,is_identifiers,loinc,is_query,is_provider,Tracking ID,
,cdex-example1-query-request,cdex-task-example1,Cdex Task Example 1,cdex-example1-query-requested,FALSE,Query String Request for Condition,Task to seek a patient active conditions. This example illustrates the use of business identifiers (instead of pointing to a FHIR resource) to references the various actors.,cdex-example1-query-requested,task-scenario1-basic|task-scenario1-contained|task-scenario1-subscription,task-scenario-1a|1c|4,1a|1c|4,condition-query|condition-contained|condition-subscription,claims audit,COVERAGE,claims-processing,TRUE,,TRUE,,,
,cdex-example1-query-completed,cdex-task-example2,Cdex Task Example 2,cdex-example1-query-completed,TRUE,Completed Query String Request for Condition,Completed Task to seek a patient active conditions. This example illustrates the use of business identifiers (instead of pointing to a FHIR resource) to references the various actors.,,task-scenario1-basic|task-scenario1-subscription,task-scenario-1a|4,1a|4,condition-query|condition-subscription,claims audit,COVERAGE,claims-processing,TRUE,,TRUE,,,
,cdex-example1-query-completed-contained,cdex-task-example3,Cdex Task Example 3,cdex-example1-query-completed-contained,TRUE,Completed Query String Request for Condition with Contained Output,Completed Task to seek a patient active conditions using a contained resource for the output data. This example illustrates the use of business identifiers (instead of pointing to a FHIR resource) to references the various actors.,,task-scenario1-contained,task-scenario-1c,1c,condition-contained,claims audit,COVERAGE,claims-processing,TRUE,,TRUE,,,
,cdex-example1-free-text-request,cdex-task-example4,Cdex Task Example 4,cdex-example1-free-text-request,TRUE,Free Text Request for Condition,,cdex-example1-free-text-request,task-scenario1-free,task-scenario-1b,1b,condition-free-text,claims audit,COVERAGE,claims-processing,TRUE,text only!,FALSE,,,
,cdex-example1-free-text-completed,cdex-task-example5,Cdex Task Example 5,cdex-example1-free-text-completed,TRUE,Completed Free Text Request for Condition,Completed Task to seek a patient active conditions using free text for the input. This example illustrates the use of business identifiers (instead of pointing to a FHIR resource) to references the various actors.,,task-scenario1-free,task-scenario-1b,1b,condition-free-text,claims audit,COVERAGE,claims-processing,TRUE,text only!,FALSE,,,
,cdex-example3-query-request,cdex-task-example6,Cdex Task Example 6,cdex-example3-query-requested,FALSE,Coded Request for Progress note,Task to seek a patient's latest Progress notes.,cdex-example3-query-requested,task-scenario4-basic|task-scenario-2b,task-scenario-2a|2b,2a|2b,history coded,care coordination,COC,care-coordination,FALSE,11506-3,FALSE,,,
,cdex-example3-query-completed,cdex-task-example7,Cdex Task Example 7,cdex-example3-query-completed,TRUE,Completed Coded Request for Progress note -PDF,Completed Task to seek a patient's latest Progress notes using a contained resource for the output data.,,task-scenario4-basic,task-scenario-2a,2a,history coded pdf,care coordination,COC,care-coordination,FALSE,11506-3,FALSE,,,
X,cdex-task-example8,cdex-task-example8,Cdex Task Example 8,,,Completed Coded Request for Progress note -CCDA,,,task-scenario-2b,task-scenario-2b,2b,history coded ccda,care coordination,COC,care-coordination,,,,,,
,cdex-example2-query-failed,cdex-task-example9,Cdex Task Example 9,cdex-example2-query-failed,TRUE,Failed Coded Request for A1C Results,Task to seek a patient's HbA1c test results with a failed status.,,task-scenario3-basic,task-scenario-3,3,a1c-fail,quality care,HQUALIMP,quality-metrics,FALSE,,TRUE,,,
,cdex-example2-query-request,cdex-task-example10,Cdex Task Example 10,cdex-example2-query-requested,FALSE,Coded Request for A1C Results,Task to seek a patient's HbA1c test results.,cdex-example2-query-requested,task-scenario3-basic,task-scenario-3,3,a1c-fail,quality care,HQUALIMP,quality-metrics,FALSE,,TRUE,,,
,cdex-example1-authorized-request,cdex-task-example11,Cdex Task Example 11,cdex-example1-authorized-request,TRUE,Query String Request  for Condition with Authorization,Task to seek a patient active conditions with a reference to a formal authorization. This example illustrates the use of business identifiers (instead of pointing to a FHIR resource) to references the various actors.,cdex-example1-authorized-request,task-scenario2-authorization,task-scenario-5,5,condition-authorization,referal,TREAT,orders,TRUE,,TRUE,,,
,cdex-example1-authorized-completed,cdex-task-example12,Cdex Task Example 12,cdex-example1-authorized-completed,TRUE,Completed Query String Request  for Condition with Authorization,Completed Task to seek a patient active conditions with a reference to a formal authorization. This example illustrates the use of business identifiers (instead of pointing to a FHIR resource) to references the various actors.,,task-scenario2-authorization,task-scenario-5,5,condition-authorization,referal,TREAT,orders,TRUE,,TRUE,,,
X,cdex-example1p-free-text-request,cdex-task-example13,Cdex Task Example 13,,,Free Text Request for Condition with Provenance,,cdex-example1p-free-text-request,task-scenario1p-free,task-scenario-6a,6a,condition-provenance,claims audit,COVERAGE,claims-processing,,,,,,
,cdex-example1p-free-text-completed,cdex-task-example14,Cdex Task Example 14,cdex-example1p-free-text-completed,TRUE,Completed Free Text Request for Condition with Provenance,Completed Task to seek a patient active conditions and their provenance using free text for the input. This example illustrates the use of business identifiers (instead of pointing to a FHIR resource) to references the various actors.,,task-scenario1p-free,task-scenario-6a,6a,condition-provenance-free-text,claims audit,COVERAGE,claims-processing,TRUE,text only!,FALSE,,,
X,cdex-example1p-query-request,cdex-task-example15,Cdex Task Example 15,,,Query String Request for Condition with Provenance,,cdex-example1p-query-request,task-scenario1p-basic,task-scenario-6b,6b,condition-provenance-free-text,claims audit,COVERAGE,claims-processing,,,,,,
,cdex-example1p-query-completed,cdex-task-example16,Cdex Task Example 16,cdex-example1p-query-completed,TRUE,Completed Query String Request for Condition with Provenance,Completed Task to seek a patient active conditions their provenance. This example illustrates the use of business identifiers (instead of pointing to a FHIR resource) to references the various actors.,,task-scenario1p-basic,task-scenario-6b,6b,condition-provenance,claims audit,COVERAGE,claims-processing,TRUE,,TRUE,,,
,cdex-example1s-query-request-withsig,cdex-task-example17,Cdex Task Example 17,cdex-example1s-query-requested-withsig,FALSE,Query String Request for Signed Condition Data,Task to seek a patient active conditions using `Task.input` signature parameter to indicate a signature is required. This example illustrates the use of business identifiers (instead of pointing to a FHIR resource) to references the various actors.,cdex-example1s-query-requested-withsig,task-scenario1s-basic,task-scenario-7,7,condition-signature,claims audit,COVERAGE,claims-processing,TRUE,,TRUE,,,
,cdex-example1s-query-withsig-completed,cdex-task-example18,Cdex Task Example 18,cdex-example1s-query-withsig-completed,TRUE,Completed Query String Request for Signed Condition Data,Completed Task to seek a *signed* patient active conditions. This example illustrates the use of business identifiers (instead of pointing to a FHIR resource) to references the various actors.,,task-scenario1s-basic,task-scenario-7,7,condition-signature,claims audit,COVERAGE,claims-processing,TRUE,,TRUE,,,
,cdex-claim-attachment-request-example-withsig,cdex-task-example19,Cdex Task Example 19,cdex-claim-attachment-request-example-withsig,TRUE,Claim Attachment Request Example,Claim Attachment Request sent by payer to a provider requesting a signed Progress note (H&P) note',cdex-claim-attachment-request-example-withsig,solicited-attachment-scenario1,task-scenario-8,8,solicited-attachment,solicited-attachment,CLMATTCH,,TRUE,11506-3,FALSE,,trackingid123,Payer
,cdex-prior-auth-attachment-request-example-withsig,cdex-task-example20,Cdex Task Example 20,cdex-prior-auth-attachment-request-example-withsig,TRUE,Prior-Auth Attachment Request Example,Prior Authorization Attachment Request sent by payer to a provider requesting a signed Progress note (H&P) note,,task-scenario-9,task-scenario-9,9,Solicited prior auth,Solicited prior auth,COVAUTH,,TRUE,11506-3,FALSE,,trackingid789,Payer
